Vehicle ID,Departure Time,Arrival Time,Travel Time,Waiting Time,Route Length
ai_c6100f07c4ee4a3b915275ee170c2b42,7.4,64.1,56.7,18.0,402.39
ai_4b5f2d8607424a33b8fb233793ab44f0,13.0,69.7,56.7,0.0,640.31
ai_e0c10665c9ff4de688eb6970682645f9,5.6,70.9,65.3,0.0,830.68
ai_b7896e993f454245974c0a87e21a1d99,18.8,96.8,78.0,0.0,867.67
ai_7906e4907dc54f8090a124c10c6ed6a1,28.2,100.2,72.0,0.0,870.67
ai_1ba338f806ab487e800482ad338d8efc,3.0,100.8,97.8,14.7,850.36
ai_dee217456bf24d21af128646ddfc1187,26.7,107.9,81.2,44.6,402.39
ai_46f120d0ec7d4373af914db84be9812d,10.3,108.9,98.6,44.4,631.99
ai_44b776a28b29445a948b16b524e8eb7d,8.8,109.2,100.4,16.6,857.97
ai_4b1cb2f7f74f475d8ade840d9523bdd4,10.5,109.5,99.0,21.3,854.83
emergency_90098a47818941128be5e9956f3b7d6b,20.2,109.8,89.6,34.4,642.47
ai_527116df29354d50920e3747b033bd56,18.7,110.6,91.9,32.9,624.05
ai_9fd6724725394eb7aa636f832d868429,33.9,111.3,77.4,35.7,418.1
ai_10a97efc7e2c46828a6e26e98a78aa6c,11.2,111.5,100.3,14.1,854.26
ai_232767e6a5644f11869243111030ef7a,20.4,112.1,91.7,17.4,846.89
ai_19055e321d77431b8a1d97c0f71f5838,4.5,113.5,109.0,20.3,850.97
ai_aab42c10e8e94bcf8664cb286f4a54b5,24.1,113.6,89.5,12.2,859.73
ai_0888ab26462346c788650418959a9bc8,35.4,115.0,79.6,10.1,863.0
ai_6237785e609f4ea68f201b4919f3a516,56.0,130.1,74.1,11.5,631.99
ai_51a7d31a57c140798492eda935300451,53.3,130.2,76.9,16.2,643.97
ai_98935b2555bd474fa95942c7423b9763,85.0,139.7,54.7,0.0,643.97
ai_54d398c1d08e43eb9526667ef6139e48,35.1,146.1,111.0,32.6,870.7
ai_2d8d8e34ced44686a2b93ffe3761a2da,44.5,154.6,110.1,39.6,640.31
ai_0d43660e47844c3b9bc78499d85cf289,10.7,155.9,145.2,52.9,857.36
ai_a9e8f7a3a9dc425cba34460455dc1998,35.3,156.3,121.0,52.9,627.0
ai_706b9ed3124541a78e130ba9d2da59a9,83.0,156.4,73.4,31.5,402.39
ai_fa456a9b2d0940ca95b0a71243b388af,89.3,157.3,68.0,19.2,405.25
ai_932e6a8ed720494bbb8f8bb5a5414e22,70.6,158.3,87.7,39.5,400.29
